port_name,port_id,port_lat,port_lon,port_iso3,continent,betweenness_centrality,k_core,hub_score,authority_score,pagerank_score,import_cluster,export_cluster,import_cluster_rolebased,export_cluster_rolebased
Abbot Point_Australia,port0,-19.89375524723548,148.0776204373203,AUS,AUST,0.0002652431310268579,119,0.001184360203694721,0.0012072604659786371,0.0008561880655847488,3,0,1,0
Abenra_Denmark,port1,55.04254248414652,9.42813655215102,DNK,EURO,0.0001761941648042464,105,0.00068236294868512,0.0006412964125069378,0.0007559996655702852,4,3,5,4
Aberdeen_U.S.A.,port2,46.96598222694922,-123.84775248396488,USA,NOAM,5.2489900338310584e-05,94,0.00042053461003755603,0.0005199107510340721,0.0004408637701782289,3,0,1,0
Aberdeen_United Kingdom,port3,57.139929119525945,-2.076616767568748,GBR,EURO,0.00032362756416281233,109,0.0007001944619474347,0.0008148924481489466,0.0008879014686922344,4,3,5,4
Abidjan_Cote d'Ivoire,port4,5.2839562225326215,-4.010908317124335,CIV,AFRI,0.0016381761665222056,119,0.0016560483415004612,0.0014150445843576903,0.0011812446278886364,0,1,4,1
Abu Zaby_United Arab Emirates,port5,24.61243287761508,54.563682995139125,ARE,ASIA,0.0007911785617250564,119,0.0013323397354426576,0.0014240916394387558,0.0010844550288186918,3,0,3,0
Acajutla_El Salvador,port6,13.575440073254065,-89.82967225900508,SLV,NOAM,0.0003780545542358847,111,0.0006540168611454151,0.000664647145429926,0.0006447299921945859,1,4,2,2
Acapulco_Mexico,port7,16.842818111519165,-99.87240809616472,MEX,NOAM,1.2280974147955487e-06,19,6.365203690727083e-05,5.652126082087085e-05,0.00018676900421727433,1,4,2,2
Ad Dakhla_Western Sahara,port8,23.667939507051656,-15.952673904063529,ESH,AFRI,9.09308381449399e-07,33,0.0001962260169207204,0.00018143589287015395,0.0002187016782153608,0,1,4,1
Aden_Yemen,port9,12.781865530225112,44.95494325096927,YEM,ASIA,0.00018617174784491577,117,0.0007650316544079027,0.0007633688951468655,0.000606020828260364,3,1,3,0
Agadir_Morocco,port10,30.438578346594785,-9.649161717511673,MAR,AFRI,0.00083439576670201,119,0.001117120080320027,0.0012388875941768019,0.0011245135442955428,0,1,4,1
Ahus_Sweden,port11,55.928800264546624,14.317943416693277,SWE,EURO,3.267861740813605e-05,98,0.00031642535207667587,0.0003814017699276506,0.0004631391770885682,4,3,5,4
Aiyion_Greece,port12,38.33552307655855,21.849965338077816,GRC,EURO,1.6526777769125614e-05,61,0.00017817786039719746,0.00025957476983508375,0.00036588017577949514,0,1,4,1
Ajman_United Arab Emirates,port13,25.419786837487603,55.45367849360017,ARE,ASIA,1.3975773505091936e-06,16,8.067210461633301e-05,7.07754643365063e-05,0.0001590152429371896,3,0,3,0
Akita-Funakawa Ko_Japan,port14,39.75669293322173,140.05619922398233,JPN,ASIA,0.00018638182882127656,116,0.0009181511692326718,0.0008475291968153242,0.0007579434108987589,3,0,1,0
Ako_Japan,port15,34.747410740749174,134.361613773323,JPN,ASIA,4.050224171377858e-06,82,0.00042645337106770416,0.00046298086874222344,0.0004929417710322619,3,0,1,0
Aktau Port_Kazakhstan,port16,43.60236745193146,51.22857007040978,KAZ,ASIA,2.6471937255260773e-05,22,5.594496202927196e-05,0.0001281008243087256,0.00032262899420077286,0,1,4,1
Akureyri_Iceland,port17,65.6950158237912,-18.095879490855825,ISL,EURO,5.1907273804119686e-05,66,0.00025532257427664007,0.00023225681611142745,0.0003401652700149905,4,3,5,4
Al Ahmadi_Yemen,port18,14.833115498793529,42.94343740943541,YEM,ASIA,0.00011925358295485125,99,0.0007028972922492826,0.00019294234969604072,0.00025417054156016717,3,1,3,0
Al Aqabah_Jordan,port19,29.45171188836525,34.958640737915914,JOR,ASIA,0.0007239193409226767,119,0.0013409872792184273,0.001354676851553357,0.0010270801802733664,3,1,3,0
Al Basrah_Iraq,port20,30.55796288018097,47.79778641264799,IRQ,ASIA,6.996453360038866e-07,6,2.0933968761486925e-05,2.3356345972872443e-05,0.0001382673700652664,3,0,3,0
Al Burayqah_Libya,port21,30.407066339237748,19.598362610129133,LBY,AFRI,6.930021443220202e-05,74,0.00034219673321422855,0.0003168441066004712,0.0003657752347946304,0,1,4,1
Al Hamriyah LPG Terminal_United Arab Emirates,port22,25.46752849165225,55.49501171707073,ARE,ASIA,0.0014915803456605789,119,0.0008605579555550804,0.0010773303662503328,0.0009386956032443959,3,0,3,0
Al Iskandariyh (Alexandria)_Egypt,port23,31.15536501576496,29.837590529759677,EGY,AFRI,0.004711535004211126,119,0.002025074578702963,0.0022665389167665917,0.0021719587309398576,0,1,4,1
Al Jubayl_Saudi Arabia,port24,27.055730142783407,49.6603902971205,SAU,ASIA,0.001843608777359627,119,0.00207102000807666,0.0018198088275750836,0.0013955571819629752,3,0,3,0
Al Kuwayt_Kuwait,port25,29.352105878846757,47.9238967749144,KWT,ASIA,0.0002697715549060395,109,0.0008439181875571522,0.0003603758631133293,0.0004234903661388394,3,0,3,0
Al Ladhiqiyah_Syria,port26,35.5235996489828,35.77044913528247,SYR,ASIA,3.217829524119791e-05,55,0.00025819523080600285,0.00025552610277324294,0.00030177169757082635,0,1,4,1
Al Mukalla_Yemen,port27,14.52061091372146,49.151230188282405,YEM,ASIA,8.12272709710514e-05,49,0.0002498737094335041,0.00022465986014692533,0.0003182524316744936,3,1,3,0
Albany_Australia,port28,-35.0340247742859,117.89715377479784,AUS,AUST,0.00012412092613647849,108,0.0005873249068509579,0.0006923522734777253,0.000578245434844371,3,0,1,0
Alborg_Denmark,port29,57.05441309328929,9.991278756609262,DNK,EURO,0.0002746919656425354,106,0.0007169986594217539,0.0007753823541049187,0.0009066438774587146,4,3,5,4
Alesund_Norway,port30,62.472833897864014,6.154027255882154,NOR,EURO,0.00020638456175040503,101,0.0005014010188222907,0.00046027537232124,0.0006017342925645896,4,3,5,4
Algeciras_Spain,port31,36.16592191437791,-5.414266527700274,ESP,EURO,0.005284883950642905,119,0.0023141842919687924,0.0024653724433060624,0.0023702446024279063,0,1,4,1
Alger_Algeria,port32,36.766686240592,3.066287649623686,DZA,AFRI,0.0002974829872673893,119,0.0010175879425794803,0.0008182619094698962,0.0007266824332058594,0,1,4,1
Aliaga_Turkey,port33,38.80383336268498,26.934998289101188,TUR,ASIA,0.0003618748910620698,119,0.0010033616849723186,0.0009530707853350767,0.0008072098310789091,0,1,4,1
Alicante_Spain,port34,38.33230794475335,-0.4912780063333981,ESP,EURO,0.0002612273151851795,115,0.0006913736974163493,0.0007825997728957378,0.0007307849939891168,0,1,4,1
Almeria_Spain,port35,36.83346066109046,-2.473846780759011,ESP,EURO,0.00021798297565218432,115,0.0007185820889950992,0.0007127562207973698,0.0006698452880393273,0,1,4,1
Alofi_Niue,port36,-19.0526751296352,-169.9200141092528,NIU,AUST,0.0,2,8.052969700178554e-08,5.119691544228224e-07,0.00011398176630400557,3,0,1,0
Alotoa_Papua New Guinea,port37,-10.31565512784391,150.45602470262926,PNG,AUST,0.00011355649930949925,27,4.2867180277650584e-05,0.00012670030634663723,0.00027596584988284284,3,0,1,0
Altamira_Mexico,port38,22.484096017261084,-97.88500211589354,MEX,NOAM,0.0011465430575416451,119,0.0009271671745397968,0.0011177928627219575,0.0011621816254526304,1,4,2,2
